Basin_ID,Headers per well,Heaters per well,Separators per well,Meters per well,Tanks per well,Compressors per well,Dehydrators per well,Pneumatic Pumps,Pneumatics - All,Thru - tank controls
430,0.136678525,0.137436087,0.361077568,0.117038584,0.430344273,0.014658128,0.000494881,0.023645082,0.770454122,0.762671623
160,0.002090782,0.067158083,0.356065875,0.917159561,0.062804219,0.003616031,0.000101987,0.004589738,0.345204195,0.088109995
220,0.092767468,0.083874606,0.794416352,0.786765609,0.596678521,0.031965212,0.010424005,0.268529424,1.922966047,0.894614732
360,0.065934915,0.194253368,0.593912384,0.82669131,0.975241682,0.103185174,0.002322974,0.121642178,1.558002822,0.66039621
745,0,0,0,0,0,0,0,0,0,0.474568159
260,0.046681587,0.129489515,0.599708406,0.897034359,0.776921906,0.02893183,0.004986981,0.394426876,1.311011475,0.22111117
230,0.034906581,0.107279803,0.730287606,0.822211102,0.96028676,0.025406495,0.011751476,0.337264664,1.497746822,0.190369029
580,0.006135582,0.002231549,1.020226529,1.033886441,0.577070101,0.232736977,0.001861581,0.004037317,6.157996753,0.253964243
395,0.249179186,0.360135031,0.703244073,0.460993286,2.383712386,0.000461602,0.000311494,0.010388225,1.458048075,0.931778627
540,0.04174295,0.081281271,0.534116315,0.391463533,0.803938145,0.074650448,0.000930022,0.005148523,2.833858631,0.920993013
355,0.002431419,0.183738939,0.978220565,0.799377875,0.733898149,0.073547332,0.001604638,0.012208229,1.223321459,0.306549492
345,0,0.004949265,1.066217712,2.053893581,0.200771758,0.080745762,0.007552502,0.149458884,1.789708072,0
420,0.007594145,0.005275575,1.00464507,0.967435747,0.473672585,0.147398447,0.000236002,0.500304328,1.542465368,0.406556269
595,0.000143108,0.220447017,0.400653907,0.234703668,0.266633908,0.000702673,0.000240254,0.076917936,3.362877042,0.615761105
425,0,0.008842674,0.539403135,0.09432186,1.502637243,0.386130113,0,0.636851796,0.740912547,0.009074105
350,0.399957785,0.036256526,0.378721259,0.217194124,1.358559806,0.03974274,0.000510113,0.134203532,1.252940652,0.737685404
535,1.80E-05,0.071274417,0.558107227,0.746025243,0.600502176,0.011772495,0.191027959,0.943887293,4.649459232,0
575,0.535651158,0.376283906,0.728106225,0.185025422,1.345161722,0.001288011,0.04604172,0.266887955,5.470895114,0.565994629
515,0.156129534,0.631079788,0.551043466,0.662286133,2.416174403,0,0,0.390951437,1.395976111,0.98941007
415,0.001605848,0.014307236,1.870459606,1.850742929,0.498840916,0.295879813,0.000528122,0.411025632,3.961462558,0
435,0.003568637,1.88E-05,0.205615399,0.981835903,0.018266909,0.110196091,0,4.40E-05,0.879464944,0
200,0,0,0,0,0,0,0,0,0,0
400,0,0.006638588,1.977228626,0.981704405,0.014427694,0.526534156,0.031982304,1.782325164,2.637746255,0
500,0,0,0,0,0,0,0,0,0,0
455,0,0,0.998593926,0.998593926,0,0.1895764,0.000505959,0,0.111252989,0
210,0.110594868,0.227756931,0.776488203,0.518945334,0.461168416,0.026697278,0.020022958,0.3477247,1.438318713,0.476486674
760,0,0,0,0,0,0,0,0,0,0
530,0,0.071141866,1.052164638,1,0.023978082,0.013060149,0.005081562,0.314221839,5.119572851,0
520,0,0,0,0,0,0,0,0,0,0
507,0,0.868975091,0.899837077,1.000018322,1.704640842,0.004757268,0.685812878,0.887734173,5.543357217,0.112255903
755,0,0,0,0,0,0,0,0,0,0
585,0.087244059,0.059377094,0.404335101,0.934634998,0.232366023,0.067612044,0.00832746,0.029253057,0.389065658,0.883806942
315,0,0,0,0,0,0,0,0,0,0
730,0,0,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0,0,0,0
510,0,0,0,0,0,0,0,0,0,0
740,0.171987632,0.005036621,0.005779136,0,0.071808418,0,0,0,0,0
750,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0
445,0,0,0,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0,0,0,0
545,0.865240023,0,0.25448236,0.12724118,2.156737999,0,0,0,1.240601504,0.992481203
335,0,0,0,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0,0,0
625,0,0,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,0,0
630,0,0,0,0,0,0,0,0,0,0
720,0,0,0,0,0,0,0,0,0,0
640,0,0,0,0,0,0,0,0,0,0
250,0,0,0.730409357,0.666666667,0.558979147,0.011695906,0,0.080610022,0.904761905,0
590,0,0,0,0,0,0,0,0,0,0
725,0,0,0,0,0,0,0,0,0,0
140,0.50678733,1.592760181,0.50678733,0,0.62745098,0,0,0,1.380392157,0
710,0,0,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0,0,0
735,0,0,0,0,0,0,0,0,0,0
650,0,0,0,0,0,0,0,0,0,0
