Basin_ID,CH4_fraction,LU_plunger,LU_noplunger
430,0.68,0,0
160,0.87,0.05,0.04
220,0.78,0.02,0.02
360,0.81,0.01,0.07
745,0.47,,
260,0.86,0.03,0.01
230,0.9,0.08,0.01
580,0.84,0.01,0.22
395,0.54,0.05,0
540,0.73,0.01,0.1
355,0.78,0,0.01
345,0.94,0.17,0.19
420,0.78,0.08,0.08
595,0.85,0.03,0.19
425,,,
350,0.78,0.02,0.03
535,0.85,0.1,0.2
575,0.84,0.07,0.05
515,0.67,0,0.01
415,0.84,0.04,0.18
435,0.73,,
200,,,
400,0.95,,
500,,,
455,0.99,,
210,0.79,0.05,
760,0,,
530,0.85,0.11,0.04
520,,,
507,0.8,0.06,0.35
755,,,
585,0.63,,0.17
315,,,
730,0.94,0.07,
390,,,
510,,,
740,0.35,,
750,0.71,,
300,,,
445,,,
450,0.67,,
545,0.72,,
335,,,
410,,,
625,,,
380,,,
630,,,
720,,,
640,,,
250,,,
590,,,
725,,,
140,0.27,,
710,,,
405,,,
735,,,
650,,,
